,JobId,EngineeringSoldkWSize,EngineeringSoldAnnualkWh,EnergyConsumption,Region,State,Zip,AHJ,RoofType,RoofSqFoot,NumMountingPlanes,NumPanels,Utility,ProductTypeAlt,PowerwallCount,UtilityCostPerKWh,OldBill,UtilityRatePlanId,UtilityInflationRate,GasRatePlanID,AverageShading,NumStories,Status
38897,JB-94528452-00,2.6,4285.5507,4486.0,Pacific Northwest,CA,94568,Dublin,Comp Shingle Roof,1766.0,1,8,Pacific Gas and Electric Company,PV Only,,0.222619,133.1366,10.0,0.028999999999999998,90.0,0.04,One Story,0
38898,JB-94528128-00,4.5,6178.2386,2453.0,Pacific Northwest,CA,94513,Brentwood,Flat Tile,3283.0,3,15,Pacific Gas and Electric Company,PV+Storage,1.0,0.213481,91.6859,10.0,0.028999999999999998,90.0,1.11e-16,Two Stories,0
38899,JB-94528122-00,4.875,7263.9853,8185.0,Pacific Northwest,CA,94503,American Canyon,Flat Tile,2803.0,1,15,Pacific Gas and Electric Company,PV+Storage,1.0,0.1237,132.4204,998504164.0,0.028999999999999998,90.0,0.01,,0
38900,JB-94527266-00,2.925,4422.9905,4646.0,Pacific Northwest,CA,94513,Brentwood,Flat Tile,2918.0,1,9,Pacific Gas and Electric Company,PV Only,,0.210627,129.5944,10.0,0.028999999999999998,90.0,0.02,,0
38901,JB-9407273-00,3.245,4309.0046,4368.0,Pacific Northwest,CA,94086,Sunnyvale,Comp Shingle Roof,2112.0,1,11,Pacific Gas and Electric Company,PV Only,,0.215723,126.7814,10.0,0.028999999999999998,90.0,0.02,,0
38902,JB-9397332-00,5.1,6480.8959,6665.0,Pacific Northwest,CA,93950,Pacific Grove,Comp Shingle Roof,2685.0,2,17,Pacific Gas and Electric Company,PV Only,,0.25593699999999997,191.4142,10.0,0.028999999999999998,90.0,0.12875,,0
38903,JB-9369382-00,4.8,4556.9692,13852.0,Pacific Northwest,CA,93612,Clovis,Rolled Roofing / Torchdown / Bitumen,3155.0,3,16,Pacific Gas and Electric Company,PV Only,,0.26396,352.7451,998504487.0,0.028999999999999998,90.0,0.33,,0
38904,JB-9369134-00,7.5,12223.5095,11531.0,Pacific Northwest,CA,93654,Reedley,Round Tile,3732.0,1,25,Pacific Gas and Electric Company,PV+Storage,1.0,0.246977,285.3713,10.0,0.028999999999999998,90.0,0.01,One Story,0
38905,JB-9369030-00,9.44,14490.5995,14463.0,Pacific Northwest,CA,93638,Madera County,Comp Shingle Roof,2736.0,3,32,Pacific Gas and Electric Company,PV Only,,0.250463,349.9178,10.0,0.028999999999999998,90.0,0.0,,0
38906,JB-9348005-00,6.5,12287.1583,11743.0,SoCal and HI,CA,93446,San Luis Obispo County,Flat Tile,3237.0,1,20,Pacific Gas and Electric Company,PV+Storage,1.0,0.251216,293.1482,10.0,0.028999999999999998,90.0,0.0,,0
