,JobId,EngineeringSoldkWSize,EngineeringSoldAnnualkWh,EnergyConsumption,State,RoofSqFoot,NumMountingPlanes,NumPanels,PowerwallCount,UtilityCostPerKWh,OldBill,UtilityRatePlanId,UtilityInflationRate,GasRatePlanID,AverageShading,Reroof,MPU,Status,yearly_sunlight_kwh_kw_threshold_avg,yearly_sunlight_kwh_n,yearly_sunlight_kwh_s,yearly_sunlight_kwh_e,yearly_sunlight_kwh_w,yearly_sunlight_kwh_f,yearly_sunlight_kwh_median,yearly_sunlight_kwh_total
9657,JB-151547-00,7.02,8209.4049,9002.0,PA,3294.0,2,27,,0.158905,119.2051,9991698.0,0.0337,40003.0,0.024583333,0,0,1,972,1992356,8701838,5678962,5876264,23098142,18162,45518365
9658,JB-151368-00,9.1,9231.9055,9267.0,PA,1766.0,2,35,,0.158322,470.3982,9991698.0,0.0337,998504099.0,0.007894736999999999,0,0,1,972,1992356,8701838,5678962,5876264,23098142,18162,45518365
9659,JB-151362-00,9.62,11923.6005,12733.0,PA,2210.0,1,37,,0.138714,495.3213,998504486.0,0.0337,998504099.0,0.0,0,0,1,972,1992356,8701838,5678962,5876264,23098142,18162,45518365
9660,JB-135121-00,3.64,4252.5955,4431.0,NY,2087.0,1,13,,0.145677,121.9171,998504445.0,0.033,998467098.0,0.0,1,0,1,980,1377676,8972284,5414671,6065895,27207697,16549,49177144
9661,JB-126583-00,8.19,9183.3035,11531.0,NY,3041.0,2,26,,0.148946,211.2506,9991558.0,0.048,998467098.0,0.038461537999999997,0,0,1,980,1377676,8972284,5414671,6065895,27207697,16549,49177144
9662,JB-1254346-00,10.8,10942.6348,12175.0,NY,1521.0,2,36,,0.147625,217.9037,9991558.0,0.048,998467098.0,0.135555556,0,0,1,980,1377676,8972284,5414671,6065895,27207697,16549,49177144
9663,JB-1254288-00,8.68,8460.8627,8767.0,NY,2919.0,2,31,,0.142741,172.4099,998504443.0,0.033,998467098.0,0.151935484,0,0,1,980,1377676,8972284,5414671,6065895,27207697,16549,49177144
9664,JB-1241292-00,5.985,6776.8256,6230.0,NY,1692.0,1,19,,0.170198,156.4869,9991558.0,0.048,998467098.0,0.04,0,1,1,980,1377676,8972284,5414671,6065895,27207697,16549,49177144
9665,JB-1212623-00,10.14,9669.5911,11409.0,NY,1920.0,6,39,,0.133499,195.0497,998504446.0,0.033,998467098.0,0.084358974,0,0,1,980,1377676,8972284,5414671,6065895,27207697,16549,49177144
9666,JB-1179309-00,8.68,10642.2225,12644.0,NY,1601.0,4,31,,0.183701,261.685,9991586.0,0.033,998467098.0,0.037333332999999996,0,0,1,980,1377676,8972284,5414671,6065895,27207697,16549,49177144
9667,JB-1179309-00,8.68,10642.2225,12644.0,NY,1601.0,4,31,,0.183701,261.685,9991586.0,0.033,998467098.0,0.037333332999999996,0,0,1,980,1377676,8972284,5414671,6065895,27207697,16549,49177144
9668,JB-1179197-00,19.6,15710.0362,26361.0,NY,,2,70,,0.17005,441.6831,9991596.0,0.033,998467098.0,0.235428571,1,0,1,980,1377676,8972284,5414671,6065895,27207697,16549,49177144
9669,JB-1179097-00,6.89,5653.6109,24720.0,NY,1349.0,3,26,,0.179151,437.1774,9991586.0,0.033,998467098.0,0.438928571,0,0,1,980,1377676,8972284,5414671,6065895,27207697,16549,49177144
9670,JB-1178004-00,3.64,4082.1638,12614.0,NY,1832.0,1,14,,0.182,259.4381,40312.0,0.033,998467098.0,0.2,0,0,1,980,1377676,8972284,5414671,6065895,27207697,16549,49177144
9671,JB-103649-00,10.08,8644.3013,10411.0,NY,1267.0,3,32,,0.212281,252.2972,9991570.0,0.033,998467098.0,0.02,0,0,1,980,1377676,8972284,5414671,6065895,27207697,16549,49177144
9672,JB-085847-00,8.4,9503.9591,9830.0,NJ,1966.0,2,30,,0.17263900000000001,193.2183,998504259.0,0.035,49601.0,1.11e-16,0,0,1,1002,1289639,8859519,6129205,5257819,27783549,12717,49979528
9673,JB-0807660-00,13.72,13139.0064,17332.0,NJ,1699.0,4,49,,0.191661,328.6214,9991416.0,0.035,49601.0,0.16795918399999998,0,0,1,1002,1289639,8859519,6129205,5257819,27783549,12717,49979528
9674,JB-0807645-00,5.6,5422.5147,8778.0,NJ,1904.0,1,20,,0.176468,180.885,998504259.0,0.035,49601.0,0.25,0,0,1,1002,1289639,8859519,6129205,5257819,27783549,12717,49979528
9675,JB-0807548-00,13.72,15152.1628,15403.0,NJ,2271.0,2,49,,0.191934,298.1611,9991416.0,0.035,49601.0,0.047647059000000005,0,0,1,1002,1289639,8859519,6129205,5257819,27783549,12717,49979528
9676,JB-0807486-00,5.6,4663.6084,18923.0,NJ,1992.0,2,20,,0.19123900000000002,301.5677,9991416.0,0.035,40003.0,0.31,1,0,1,1002,1289639,8859519,6129205,5257819,27783549,12717,49979528
9677,JB-0807330-00,5.355,6696.9931,6739.0,NJ,1681.0,1,17,,0.19099000000000002,159.0552,9991416.0,0.035,49601.0,0.07,1,1,1,1002,1289639,8859519,6129205,5257819,27783549,12717,49979528
9678,JB-0807273-00,7.875,7051.1699,12652.0,NJ,2248.0,1,25,,0.172324,233.4856,998504259.0,0.035,49601.0,0.34,1,1,1,1002,1289639,8859519,6129205,5257819,27783549,12717,49979528
9679,JB-0807249-00,5.985,6724.4909,8795.0,NJ,1697.0,2,19,,0.190808,191.6448,9991416.0,0.035,49601.0,0.045263158,0,0,1,1002,1289639,8859519,6129205,5257819,27783549,12717,49979528
9680,JB-076995-00,16.52,14636.1486,20558.0,NJ,2773.0,5,59,,0.183495,366.1554,9991427.0,0.035,49601.0,0.246949153,0,0,1,1002,1289639,8859519,6129205,5257819,27783549,12717,49979528
9681,JB-0703109-00,4.16,4137.2911,10676.0,NJ,1508.0,1,16,,0.172198,204.9973,998504259.0,0.035,49601.0,0.01,0,0,1,1002,1289639,8859519,6129205,5257819,27783549,12717,49979528
9682,JB-0702709-00,2.6,2540.4003,2676.0,NJ,,1,10,,0.18,91.9384,40310.0,0.035,49601.0,0.0,0,0,1,1002,1289639,8859519,6129205,5257819,27783549,12717,49979528
9683,JB-0651484-00,7.56,7421.8137,8091.0,CT,897.0,2,24,,0.225623,203.9247,999467.0,0.054000000000000006,49601.0,0.05,0,0,1,994,800861,9855981,6130884,5974726,23119290,22457,46118246
9684,JB-0643849-00,9.62,7746.7308,12840.0,CT,1894.0,2,37,,0.24399099999999999,332.1184,40356.0,0.054000000000000006,49601.0,0.3325,0,0,1,994,800861,9855981,6130884,5974726,23119290,22457,46118246
9685,JB-0633336-00,5.88,6528.1636,6715.0,CT,2326.0,1,21,,0.191145,158.7602,999454.0,0.054000000000000006,49601.0,0.06,0,0,1,994,800861,9855981,6130884,5974726,23119290,22457,46118246
9686,JB-0633274-00,16.64,13396.7627,14105.0,CT,2683.0,3,64,,0.182671,266.5125,999454.0,0.054000000000000006,49601.0,0.2559375,0,0,1,994,800861,9855981,6130884,5974726,23119290,22457,46118246
9687,JB-0621226-00,10.66,11371.2521,18432.0,CT,1460.0,3,41,,0.17519400000000002,320.8958,998504469.0,0.054000000000000006,49601.0,0.054634145999999995,1,1,1,994,800861,9855981,6130884,5974726,23119290,22457,46118246
9688,JB-0604914-00,9.52,10004.1711,10831.0,CT,1181.0,2,34,,0.177368,211.8877,999454.0,0.054000000000000006,49601.0,0.0,0,1,1,994,800861,9855981,6130884,5974726,23119290,22457,46118246
9689,JB-0604898-00,5.6,7027.4946,6177.0,CT,2609.0,1,20,,0.19883,154.1461,999454.0,0.054000000000000006,49601.0,0.04,0,0,1,994,800861,9855981,6130884,5974726,23119290,22457,46118246
9690,JB-0604874-00,3.15,3751.1577,8785.0,CT,1289.0,1,10,,0.189604,190.6046,999454.0,0.054000000000000006,49601.0,0.15,0,0,1,994,800861,9855981,6130884,5974726,23119290,22457,46118246
9691,JB-057339-00,7.875,7970.5429,8530.0,VT,4333.0,2,25,,0.182545,181.5574,998504368.0,0.028999999999999998,49601.0,0.166923077,0,0,1,950,678899,6315893,3821598,3795436,26967757,17827,41579584
9692,JB-056270-00,11.025,10995.8423,11589.0,VT,1026.0,2,35,,0.174808,220.6197,998504368.0,0.028999999999999998,49601.0,0.035714286,0,1,1,950,678899,6315893,3821598,3795436,26967757,17827,41579584
9693,JB-0542245-00,12.04,11818.5947,11903.0,VT,2603.0,5,43,,0.176896,227.2644,998504368.0,0.028999999999999998,49601.0,0.08425,0,0,1,950,678899,6315893,3821598,3795436,26967757,17827,41579584
